country,year,case_count,source,case_rate
Alabama,1896,1,Project Tycho - https://zenodo.org/records/11452259,
Alabama,1899,1,Project Tycho - https://zenodo.org/records/11452259,
Alabama,1900,2,Project Tycho - https://zenodo.org/records/11452259,0.10918043704928951
Alabama,1904,2,Project Tycho - https://zenodo.org/records/11452259,0.1010112233570272
Alabama,1907,3,Project Tycho - https://zenodo.org/records/11452259,0.14562696778440218
Alabama,1908,4,Project Tycho - https://zenodo.org/records/11452259,0.1930436713045409
Alabama,1909,1,Project Tycho - https://zenodo.org/records/11452259,0.04739093923154644
Alabama,1910,622,Project Tycho - https://zenodo.org/records/11452259,28.90133122691262
Alabama,1911,594,Project Tycho - https://zenodo.org/records/11452259,27.158196494580935
Alabama,1912,111,Project Tycho - https://zenodo.org/records/11452259,5.001764135728953
Alabama,1913,7,Project Tycho - https://zenodo.org/records/11452259,0.30684541434870527
Alabama,1914,4,Project Tycho - https://zenodo.org/records/11452259,0.17106181489743133
Alabama,1915,2,Project Tycho - https://zenodo.org/records/11452259,0.0852026438380383
Alabama,1916,66,Project Tycho - https://zenodo.org/records/11452259,2.7950006754584966
Alabama,1917,5223,Project Tycho - https://zenodo.org/records/11452259,220.99882328598974
Alabama,1918,1681,Project Tycho - https://zenodo.org/records/11452259,71.67395131543658
Alabama,1919,373,Project Tycho - https://zenodo.org/records/11452259,15.94468860194149
Alabama,1920,285,Project Tycho - https://zenodo.org/records/11452259,12.06932109857078
Alabama,1921,485,Project Tycho - https://zenodo.org/records/11452259,20.171335741693778
Alabama,1922,118,Project Tycho - https://zenodo.org/records/11452259,4.843143709207801
Alabama,1923,4999,Project Tycho - https://zenodo.org/records/11452259,202.6788146918017
Alabama,1924,1617,Project Tycho - https://zenodo.org/records/11452259,64.58954879586626
Alabama,1925,53,Project Tycho - https://zenodo.org/records/11452259,2.089465388597196
Alabama,1926,1797,Project Tycho - https://zenodo.org/records/11452259,69.93396163633795
Alabama,1927,1843,Project Tycho - https://zenodo.org/records/11452259,70.56952246680112
Alabama,1928,10318,Project Tycho - https://zenodo.org/records/11452259,390.4428904428904
Alabama,1929,3091,Project Tycho - https://zenodo.org/records/11452259,116.78941330983692
Alabama,1930,6069,Project Tycho - https://zenodo.org/records/11452259,229.04937903048972
Alabama,1931,10650,Project Tycho - https://zenodo.org/records/11452259,401.6368682280347
Alabama,1932,310,Project Tycho - https://zenodo.org/records/11452259,11.673211823984534
Alabama,1933,2224,Project Tycho - https://zenodo.org/records/11452259,83.49410829681405
Alabama,1934,18272,Project Tycho - https://zenodo.org/records/11452259,679.8415736963223
Alabama,1935,8015,Project Tycho - https://zenodo.org/records/11452259,294.48300871618267
Alabama,1936,588,Project Tycho - https://zenodo.org/records/11452259,21.41496855313844
Alabama,1937,900,Project Tycho - https://zenodo.org/records/11452259,32.55253074224834
Alabama,1938,16746,Project Tycho - https://zenodo.org/records/11452259,600.260880131709
Alabama,1939,4613,Project Tycho - https://zenodo.org/records/11452259,163.76658167702945
Alabama,1940,3600,Project Tycho - https://zenodo.org/records/11452259,126.41137421453764
Alabama,1941,10128,Project Tycho - https://zenodo.org/records/11452259,348.6520371427332
Alabama,1942,3742,Project Tycho - https://zenodo.org/records/11452259,127.10852561243584
Alabama,1943,4194,Project Tycho - https://zenodo.org/records/11452259,144.37664334287354
Alabama,1944,7667,Project Tycho - https://zenodo.org/records/11452259,273.35262881301423
Alabama,1945,369,Project Tycho - https://zenodo.org/records/11452259,13.284013284013284
Alabama,1946,4278,Project Tycho - https://zenodo.org/records/11452259,146.81299463161366
Alabama,1947,4385,Project Tycho - https://zenodo.org/records/11452259,148.89936711826584
Alabama,1948,2110,Project Tycho - https://zenodo.org/records/11452259,70.99670285928286
Alabama,1949,11066,Project Tycho - https://zenodo.org/records/11452259,368.4981684981685
Alabama,1950,1633,Project Tycho - https://zenodo.org/records/11452259,53.347568063068394
Alabama,1951,3300,Project Tycho - https://zenodo.org/records/11452259,107.7706210102418
Alabama,1952,16029,Project Tycho - https://zenodo.org/records/11452259,521.9356914272169
Alabama,1953,2987,Project Tycho - https://zenodo.org/records/11452259,97.74045149086093
Alabama,1954,8451,Project Tycho - https://zenodo.org/records/11452259,280.11139490900604
Alabama,1955,2125,Project Tycho - https://zenodo.org/records/11452259,69.60252861892207
Alabama,1956,7324,Project Tycho - https://zenodo.org/records/11452259,238.2508406604792
Alabama,1957,9127,Project Tycho - https://zenodo.org/records/11452259,293.273789574851
Alabama,1958,7650,Project Tycho - https://zenodo.org/records/11452259,241.61737724810757
Alabama,1959,3467,Project Tycho - https://zenodo.org/records/11452259,108.1003889992654
Alabama,1960,2075,Project Tycho - https://zenodo.org/records/11452259,63.3148159110285
Alabama,1961,2724,Project Tycho - https://zenodo.org/records/11452259,82.06510015918941
Alabama,1962,2254,Project Tycho - https://zenodo.org/records/11452259,67.76251133759409
Alabama,1963,1167,Project Tycho - https://zenodo.org/records/11452259,34.71811095396563
Alabama,1964,18105,Project Tycho - https://zenodo.org/records/11452259,532.7514900416226
Alabama,1965,2346,Project Tycho - https://zenodo.org/records/11452259,68.07018134348951
Alabama,1966,1813,Project Tycho - https://zenodo.org/records/11452259,52.286051131316725
Alabama,1967,1345,Project Tycho - https://zenodo.org/records/11452259,38.85645875235233
Alabama,1968,158,Project Tycho - https://zenodo.org/records/11452259,4.580445671565811
