"year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,659170,1182850,"20210113",NA,"DEMOCRAT"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,504070,1182850,"20210113",NA,"REPUBLICAN"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,9198,1182850,"20210113",NA,"OTHER"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,6669,1182850,"20210113",NA,"OTHER"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,1954,1182850,"20210113",NA,"OTHER"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,1481,1182850,"20210113",NA,"LIBERTARIAN"
1976,"ALABAMA","AL",1,63,41,"US PRESIDENT","","",TRUE,308,1182850,"20210113",NA,"OTHER"
1976,"ALASKA","AK",2,94,81,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,71555,123574,"20210113",NA,"REPUBLICAN"
1976,"ALASKA","AK",2,94,81,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,44058,123574,"20210113",NA,"DEMOCRAT"
1976,"ALASKA","AK",2,94,81,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,6785,123574,"20210113",NA,"LIBERTARIAN"
1976,"ALASKA","AK",2,94,81,"US PRESIDENT","","",TRUE,1176,123574,"20210113",NA,"OTHER"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,418642,742719,"20210113",NA,"REPUBLICAN"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,295602,742719,"20210113",NA,"DEMOCRAT"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,19229,742719,"20210113",NA,"OTHER"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,7647,742719,"20210113",NA,"LIBERTARIAN"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,928,742719,"20210113",NA,"OTHER"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,564,742719,"20210113",NA,"OTHER"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,85,742719,"20210113",NA,"OTHER"
1976,"ARIZONA","AZ",4,86,61,"US PRESIDENT","","",TRUE,22,742719,"20210113",NA,"OTHER"
1976,"ARKANSAS","AR",5,71,42,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,498604,767535,"20210113",NA,"DEMOCRAT"
1976,"ARKANSAS","AR",5,71,42,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,267903,767535,"20210113",NA,"REPUBLICAN"
1976,"ARKANSAS","AR",5,71,42,"US PRESIDENT","","INDEPENDENT",FALSE,639,767535,"20210113",NA,"OTHER"
1976,"ARKANSAS","AR",5,71,42,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,389,767535,"20210113",NA,"OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,3882244,7803770,"20210113",NA,"REPUBLICAN"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,3742284,7803770,"20210113",NA,"DEMOCRAT"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","MACBRIDE, ROGER","INDEPENDENT",FALSE,56388,7803770,"20210113",NA,"OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,51098,7803770,"20210113",NA,"OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","WRIGHT, MARGARET","PEACE & FREEDOM",FALSE,41731,7803770,"20210113",NA,"OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","CAMEJO, PETER","INDEPENDENT",FALSE,17259,7803770,"20210113",NA,"OTHER"
1976,"CALIFORNIA","CA",6,93,71,"US PRESIDENT","HALL, GUS","INDEPENDENT",FALSE,12766,7803770,"20210113",NA,"OTHER"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,584278,1081440,"20210113",NA,"REPUBLICAN"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,460801,1081440,"20210113",NA,"DEMOCRAT"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,26047,1081440,"20210113",NA,"OTHER"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,5338,1081440,"20210113",NA,"LIBERTARIAN"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,2886,1081440,"20210113",NA,"OTHER"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,1122,1081440,"20210113",NA,"OTHER"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,565,1081440,"20210113",NA,"OTHER"
1976,"COLORADO","CO",8,84,62,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,403,1081440,"20210113",NA,"OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,719261,1386355,"20210113",NA,"REPUBLICAN"
1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,647895,1386355,"20210113",NA,"DEMOCRAT"
1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","SCATTERING","",FALSE,10309,1386355,"20210113",NA,"OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,7101,1386355,"20210113",NA,"OTHER"
1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,1789,1386355,"20210113",NA,"OTHER"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,122461,235642,"20210113",NA,"DEMOCRAT"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,109780,235642,"20210113",NA,"REPUBLICAN"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","","NO PARTY AFFILIATION",FALSE,2432,235642,"20210113",NA,"OTHER"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,645,235642,"20210113",NA,"OTHER"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,135,235642,"20210113",NA,"OTHER"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,103,235642,"20210113",NA,"OTHER"
1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","","SOCIALIST LABOR",FALSE,86,235642,"20210113",NA,"OTHER"
1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,137818,168830,"20210113",NA,"DEMOCRAT"
1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,27873,168830,"20210113",NA,"REPUBLICAN"
1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","OTHER","",FALSE,1656,168830,"20210113",NA,"OTHER"
1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","","INDEPENDENT",FALSE,1195,168830,"20210113",NA,"OTHER"
1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","","",TRUE,288,168830,"20210113",NA,"OTHER"
1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1636000,3150631,"20210113",NA,"DEMOCRAT"
1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,1469531,3150631,"20210113",NA,"REPUBLICAN"
1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,23643,3150631,"20210113",NA,"OTHER"
1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,21325,3150631,"20210113",NA,"OTHER"
1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","","",TRUE,132,3150631,"20210113",NA,"OTHER"
1976,"GEORGIA","GA",13,58,44,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,979409,1463152,"20210113",NA,"DEMOCRAT"
1976,"GEORGIA","GA",13,58,44,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,483743,1463152,"20210113",NA,"REPUBLICAN"
1976,"HAWAII","HI",15,95,82,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,147375,291301,"20210113",NA,"DEMOCRAT"
